path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkLayerProcessor.cs,57.19,111,18,149,6,0,0,0,0
Assets/Demos/FunctionDev/FpDemo/FpSample.cs,56.4,360,11,360,1,0,0,0,16
Assets/Core/GameCoreSystems/LoadingSplash/VgSplasher.cs,53.93,112,11,112,1,0,0,3,1
Assets/Core/Common/StateMachine/StateMachineRunner.cs,53.19,89,10,89,1,3,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/SavePoint/SavePoint.cs,52.19,119,14,125,4,0,2,0,0
Assets/Core/Common/StateMachine/Events/StateEvent.cs,51.42,110,10,110,1,0,0,0,0
Assets/Core/Scene/AbTile/AbTile.cs,50.16,133,13,133,1,0,4,0,0
Assets/Core/GameCore/GameCore.Editor.cs,49.77,82,8,152,6,0,1,1,0
Assets/Rendering/RainRust/RenderPasses/RainRustContextData.cs,49.44,47,2,59,3,0,7,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Effect/ParticleEffectInstance.cs,48.7,84,9,84,1,1,1,0,1
Assets/Core/GameCore/GameCore.Flow.cs,46.83,207,10,297,4,0,1,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/SnakeDoor.cs,46.74,135,11,143,5,0,1,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/SnakeTail.cs,46.33,91,13,93,3,0,2,0,1
Assets/Core/Container/PriorityQueue.cs,46.33,156,14,160,2,0,0,0,0
Assets/Demos/FunctionDev/Sonar/SonarWaveController.cs,45.92,57,7,57,1,1,4,0,5
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkChapterBackgroundProcessor.cs,45.48,131,14,135,4,0,0,0,1
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LDtkIdentifiers.cs,44.23,52,1,100,13,0,0,0,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerInverseAccelerateCapability.cs,43.61,129,15,139,3,0,0,0,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerJumpCapability.cs,43.4,228,12,240,2,0,0,0,4
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerAccelerateCapability.cs,43.39,125,15,137,3,0,0,0,0
Assets/Core/AddressableResourceLoader/AddressableResourceLoader.cs,42.74,87,7,95,3,0,0,1,0
